CodeCountry;Birth rate(births/1000 population);Current account balance;Death rate(deaths/1000 population)
ALB;-0.6015699754059789;-0.0014614549511202592;-0.9269753688830327
AZE;-0.11542756163850014;-0.04445567127382325;0.020784201096032656
AUT;-1.174523534489079;-0.05134910721032344;-0.011207683122670002
ARM;-0.9049520832458341;0.003270601592789765;-0.31912956872768267
BEL;-1.0219186790395132;0.21223505908038554;0.09276594058811381
BIH;-0.8382445715822514;-0.03011229806219916;-0.26314377134495315
BGR;-1.0968504044698388;0.019845365655734092;0.9005610171103551
BLR;-0.9899356255021791;-0.012501723443171341;0.8785665967099971
HRV;-1.105074618236582;-0.02697075824738788;0.32470710117370793
CYP;-0.8309341593451465;-0.0035420518913295606;-0.4231031924384663
CZE;-1.1507646947184877;-0.09527680964942749;0.15674970902551877
DNK;-0.9415041444313589;0.12479254229212405;0.13475528862516084
EST;-1.074005366228886;-0.013399306247403136;0.6906142769251192
FIN;-1.020091075980237;0.21205554251953918;0.0067877517503501985
FRA;-0.8693138235899475;0.0021109246097222854;-0.13517623447014254
GEO;-1.04293611422119;-0.003775423420429827;-0.13317674170647367
DEU;-1.2183860079117086;1.3286485509838923;0.158749201789188
GRC;-1.09136759529201;-0.13602706896155098;0.07876949124243136
HUN;-1.0877123891734577;-0.13496792125255747;0.6866152913977812
ISL;-0.7249331819071247;-0.002646264252706229;-0.6150544977506821
IRL;-0.657311868713904;-0.044132541464299804;-0.3811138444014191
ITA;-1.167213122251974;-0.37119376367028134;0.10876188269746515
KAZ;-0.5376038683313107;0.006885706095113743;-0.05919550945072363
LVA;-1.1535060993074022;-0.01487134204634328;0.7885894223448957
LTU;-1.1918857635522033;-0.021136470019881212;0.23273043404493768
MLT;-1.050246526458295;0.0032598305991389832;-0.3511214529463853
MDA;-0.5842077463428547;0.004922153952576268;0.6066355808510245
NLD;-0.9616077780833974;0.3648241357997907;-0.2151559450168992
NOR;-0.9131762970125772;0.555470723418624;-0.06119500221439286
POL;-0.9945046331503697;-0.06118661474470391;0.050776592551066445
PRT;-0.9908494270318171;-0.1381812676917073;0.13475528862516084
ROU;-1.0018150453874746;-0.05759628352777673;0.39668884066578874
RUS;-1.0840571830549053;0.8340804258521732;0.9525478289657467
SVK;-1.0091254576245796;-0.01754613880295403;-0.0651939877417306
SVN;-1.1617303130741454;0.006659156195325638;0.09276594058811381
ESP;-1.0566431371657616;-0.5469404767388668;-0.025204132468352104
SWE;-1.0328842973951706;0.43986205823356883;0.12075883927947838
CHE;-1.0867985876438195;0.7427064963813765;-0.25514580029027734
TUR;-0.44165470771930837;-0.2670741583793931;-0.7590179767348438
UKR;-1.021004877509875;0.08987657120750722;1.332451454062841
MKD;-0.8830208465345193;0.00200321467321447;-0.20515848119855448
AUS;-0.8592620067639282;-0.6799622483260188;-0.46309304771184445
NZL;-0.7093985559032767;-0.0578835100251309;-0.4450976128388242
PNG;0.7572528991659028;0.008109470490403373;-0.4770894970575269
ARG;-0.4352580970118415;0.10583559346674855;-0.4390991345478176
BOL;0.19160975231990782;0.012486981826641836;-0.4231031924384663
BRA;-0.44165470771930837;0.15119942839262349;-0.7210276142251344
CHL;-0.5686731203390066;0.046810548260465684;-0.7990078320082222
COL;-0.07704789739369902;-0.023039345564852615;-0.8329992089905937
ECU;0.09200538558935296;0.01227335711923467;-1.102930732085897
GUY;-0.29361885991793313;0.005263235418184351;-0.28713768450898
PRY;0.7097352196247206;0.006937945414320034;-1.0449454419394986
PER;-0.07247888974550837;0.007047630032997159;-0.6990331938247765
URY;-0.6920363268401526;0.010849790791723043;-0.13917521999748028
VEN;-0.2515839895545796;0.26950084199037405;-0.9709642096837487
DZA;-0.4142406618301647;0.2212108871227035;-1.0309489925938162
AGO;2.0996273462042985;0.006906170983050228;3.2279705940209706
BWA;0.15231628654546844;0.013635887816058534;3.9197950902504153
BDI;1.6445541844445153;0.0065180561785004;1.5344002231934009
CMR;1.1885672211550948;0.004909587793317023;1.1285031921686115
CPV;0.33507659247309207;0.005903032441040774;-0.6270514543326955
TCD;2.222076751175806;0.013513816554683011;1.3304519612991716
COG;0.5680959825308123;0.012361320234049386;1.0125326118758144
BEN;1.8574699408501973;0.004715709907602955;0.8005863789269093
GNQ;1.3265512521304503;-0.0028006484950340977;0.44867565252118047
ETH;1.548605023832513;-0.0007505693701686775;1.0605204382038684
ERI;1.549518825362151;0.004984984748872494;0.7545980453625242
GAB;1.3320340613082793;0.011119065632992581;0.39268985513845095
GMB;1.6628302150372778;0.007291772555748207;0.4106852900114712
GHA;0.21079958444230806;0.00909178511135465;0.21673449193558636
GIN;1.8611251469687495;0.002051684144642987;1.1245042066412736
CIV;1.2653265496446964;1.9556675862202742e-05;1.0365265250398412
KEN;1.6875028563375074;-0.0006572207585285708;0.9785412348934428
LSO;0.4447327760296665;0.005642015361570168;3.0540147235817763
LBY;0.47123302038917186;0.18521781667300852;-1.2548921821247345
MDG;1.8273144903721388;0.002525607865277375;0.31870862288270096
MWI;2.0365750406592684;0.006589862802838944;2.726097910340074
MUS;-0.5522246928055206;0.012686245209181296;-0.5850621062956483
MAR;0.05728092746310424;0.021326377282716556;-0.8230017451722492
MOZ;1.2909129924745637;0.005769472119771083;2.2462196470595344
NGA;1.735020535878689;0.10143743772601276;1.484412904101678
RWA;1.7304515282304989;0.0037714527975511065;1.3124565264261516
STP;1.7487275588232607;0.0070207025488702056;-0.6150544977506821
SEN;1.237912503755553;-0.0017271394611728707;0.16874666560753238
SYC;-0.4973966010272335;0.00581937772368637;-0.6830372517154252
